account_id,account_type,created,identification_id,name,birthday,zipcode,city,state,latitude,longitude,card_type,card_number,phone
fb7a6055229018c1,personal,734720.1697197235,c4387813194b0d4f,Shad Brinkley,714411,43022,Gambier,OH,40.7918905880131,-81.72300765080654,visa,4532896444050010,(315)448-8533
96379296f7a6f17d,personal,735346.2087215016,f1f8f1428c965f2c,Clement Brower,725825,38060,Oakland,TN,35.31803851148029,-89.14084751982526,amex,3730466993099170,(202)930-1538
49fdabc60dc6a0fb,personal,735357.6554613783,efa5e65c7f96f06d,Chas Boggs,712179,12149,Richmondville,NY,42.9139060468226,-74.95186127166677,discover,6011314937589720,(614)350-6646
524ce05b77c6eb98,personal,735608.530426233,61ce4d3bab040b8a,Jerrold Stiltner,722855,88518,El Paso,TX,31.95194769476084,-106.98267584597185,discover,6011881441432730,(305)658-3953
1b85d1012a144452,personal,735932.1857697881,259a7199d65ab16c,Elisa Derr,712854,60152,Marengo,IL,42.63868417748086,-88.47354946074331,amex,3784570536988120,(304)399-5999
a69b819d489743b5,personal,736054.2154240508,d2e4b20043370e6d,Nadine Valadez,710862,16738,Lewis Run,PA,41.96295018577406,-78.27933355455279,mastercard,5249763966454740,(860)153-5537
4a07fa5ab9ad0f96,personal,736327.6502634521,a7ac997e48510159,Joel Pitre,709480,62080,Ramsey,IL,39.213534014823125,-89.46551719619141,discover,6011383571693150,(859)878-6432
bcc9fac0778919d7,personal,736365.3496896522,7d3228c3fff8593c,Darryl Ham,716622,38340,Henderson,TN,34.9113075311302,-88.18487017814162,mastercard,5467143517172300,(304)946-6782
4c3759e8dc3e9607,personal,736675.6630396305,3365e5fbf737cf40,Olive Keel,724162,25442,Shenandoah Junction,WV,39.30553215198926,-78.11892008155975,amex,3711519687204190,(801)803-6618
c2b0240fd96f4c28,personal,737078.8381015629,97665ed52c60f84f,Isaac Antonio,709660,61111,Loves Park,IL,42.432938329361995,-88.96960996036724,discover,6011552930701020,(307)580-7908
8f2f3a456bed03c,personal,737118.6677998422,55eae8e24b09912f,Astrid Dietz,719342,73048,Hydro,OK,35.57360877894611,-98.2257379520485,visa,4024007146143030,(864)128-2663
3473fa88db1410ea,personal,737911.3384786672,b8d2e01bfece09f3,Norberto Kilpatrick,716367,25442,Shenandoah Junction,WV,39.30553215198926,-78.11892008155975,discover,6011428324577300,(507)565-5446
39fd874b17d0eb27,personal,738626.5930657341,bc76cc813f308df3,Leigh Correia,709499,27249,Gibsonville,NC,35.727196843495655,-79.55325556008218,visa,4040169552470880,(848)664-2737
e4b779fdeed2f464,personal,739136.1724288673,bd945ae215551363,Isiah Quigley,716865,20579,Washington,DC,39.163244737393484,-77.49678603483511,visa,4929775249763980,(567)431-4375
555816336b4fcb6e,personal,739226.6309764305,6a3d68fa43b307d5,Nikki Durbin,731293,05144,Chester Depot,VT,43.73514233574492,-71.97950104204541,visa,4716628141199280,(303)866-8357
6be84016061ae2fc,personal,739792.3527169554,5b499380a05703d1,Stefan Ocampo,713727,28679,Sugar Grove,NC,36.02401634339586,-82.35331823404252,mastercard,5133603844143030,(557)861-3408
675a5286485c5c35,personal,741253.5114632178,779be84a93885185,Saundra Keys,709514,19512,Boyertown,PA,40.32432492138552,-76.4636677048445,amex,3495742983211410,(302)657-4562
4be00eb737554847,personal,741420.8025928732,f7e0e664180e9a90,Enoch Champagne,719895,05144,Chester Depot,VT,43.73514233574492,-71.97950104204541,discover,6011054887684890,(252)206-3335
