id,from,to,created,amount
88a7a897f1aa1db,4532896444050010,5181142465098920,734720.1697197235,92.96
b590a1b4a6e11773,4532896444050010,3796571911774770,734736.3296667126,55.34
4288b23a33fb4a40,4532896444050010,3417016523960880,734758.4227631182,72.24
3a0bc67c8af8e0d6,4532896444050010,3793908657538950,734769.9667786476,100.73
b5c03ac5ee5871df,4532896444050010,6011246415672530,734773.464496343,54.6
e7f886e576963b37,4532896444050010,6011998015196080,734838.8488819178,1000
91227a2df258a1c3,4532896444050010,6011998015196080,734869.608975141,100
b9a49299ba3f7bda,4532896444050010,3793908657538950,734869.688746252,59.81
1e3712c2abf8938d,4532896444050010,3731244098162800,734873.7728957803,200
57f260e02279e19e,4532896444050010,5181142465098920,734874.1669426153,25.43
51977ce066779cef,4532896444050010,6011771484024500,734914.3611349093,100
55b088d353b2b9af,4532896444050010,3417016523960880,734920.6092615196,40.73
e3339a04f75cf662,4532896444050010,6011998015196080,734988.2049508016,100
8dc05680dec24ed0,4532896444050010,3793908657538950,735050.3675909784,99.79
49ddb60e39f01c39,4532896444050010,3707423758276390,735088.8417232872,1.23
23b9468a23c25057,4532896444050010,3793908657538950,735128.1480424687,8.51
3192802e86a486ec,4532896444050010,3731244098162800,735180.5666685365,20
ae413679eb34de5b,4532896444050010,3417016523960880,735203.2630119281,61.06
e624c97e4bbd128b,4532896444050010,6011771484024500,735203.8869335509,100
35c1495f66535ca1,4532896444050010,3731244098162800,735252.8850965006,1000
6a567fdfc37a5124,4532896444050010,6011771484024500,735308.9867426661,50
2da91417febef498,4532896444050010,6011246415672530,735346.2087215016,8.71
9b8fd630aba630b1,3730466993099170,4556741512742490,735356.6287798551,100
bd27f4da365cfc53,3730466993099170,4556741512742490,735357.6554613783,20
77a15f54f3be9a94,4532896444050010,6011246415672530,735367.5172160114,9.83
2feca3856925c672,3730466993099170,5532005290299320,735433.8469600003,33.39
1c071b659b2c374c,3730466993099170,3420519753219040,735470.0868581234,68.14
165ae3bd72774bac,3730466993099170,5219574660384370,735500.7040755971,20
d4faa98f4f3e84c2,4532896444050010,3731244098162800,735551.1817463603,20
a937b76103fd7bb,3730466993099170,5415890979651320,735608.530426233,50
34f20440990eab4e,4532896444050010,3793908657538950,735627.4214562456,52.99
437d9730d27b8aa3,6011881441432730,6011858637233190,735692.6240068007,107.23
e8dccf8bbade2bf6,3730466993099170,3485284831998190,735703.9717325699,50
e774ec18f9a280cf,4532896444050010,6011246415672530,735760.5692692217,33.91
aaf4831b1bdc8e7e,3730466993099170,6011809195923390,735797.3430631246,51.52
2ba0c9a7c09196a8,6011881441432730,3769123861127710,735848.7773386738,30
809f9aa0fff134b6,4532896444050010,3793908657538950,735852.1620163417,25.63
8876660857f527af,6011314937589720,6011182764362570,735899.7733157786,35.68
79efa3cdb3b54050,6011314937589720,6011730504222220,735899.8119776509,44.81
59ebda518bffd77c,4532896444050010,3731244098162800,735932.1857697881,500
962acbf54654bbe2,4532896444050010,6011246415672530,735982.0793385161,48.18
87672c2535946ff9,3730466993099170,5459856943450580,735996.3316093129,51.57
6f8b31ce377941d5,4532896444050010,3731244098162800,736015.2589726849,500
90551b836edb1bf1,6011314937589720,6011182764362570,736054.2154240508,28.94
7be74b553b1f19af,3730466993099170,3485284831998190,736102.9614853415,1000
9ec09553cabcc31b,6011881441432730,6011858637233190,736153.3657278997,40.69
11b6ce55f65e8775,6011314937589720,6011730504222220,736169.9074256488,18.29
49c52ad25515681f,5249763966454740,6011335130121350,736174.214732868,43.53
e1ff42c3e13940f7,6011314937589720,6011730504222220,736207.8956733802,66.07
db1d941ef89b6d56,6011314937589720,6011182764362570,736235.0753481211,46.01
c58fc06223239097,5249763966454740,3400254371747960,736286.2361478892,2925.15
1e33a8105162f9f,5249763966454740,4929066813246120,736296.1575516223,85.58
8d029601b16aa1bb,6011881441432730,6011858637233190,736327.6502634521,30.29
31faef95ea65314,6011314937589720,6011730504222220,736331.3710052483,3.28
8d773f1523726d1,6011881441432730,3769123861127710,736365.3496896522,200
bc5600c74940ad11,5467143517172300,3420519753219040,736386.9695627058,26.43
d7e4663ecf806d57,5249763966454740,3719223021023620,736441.9655374186,39.18
d288a15a91474361,6011881441432730,3769123861127710,736492.8803351597,20
28406fbc3fb8963d,5249763966454740,6011335130121350,736521.7081697268,66.81
f343d3888df1776c,6011881441432730,6011858637233190,736558.4438566577,23.2
bfe3b34e3a41b140,4532896444050010,6011998015196080,736565.1144785889,200
d1f239b9c13dde47,6011881441432730,3769123861127710,736634.4508499156,20
5e0ee8ea1718f50e,5467143517172300,5219574660384370,736650.0653769866,200
1ae2b5b43e4d206d,3711519687204190,5345396445255180,736675.6630396305,1000
d7e6461152ebedbe,6011383571693150,6011809195923390,736709.8210925388,7.7
94cb77102c51dcef,6011383571693150,3756998637049040,736768.0989734075,77.84
f1e22bd3c80257e3,6011383571693150,4556674960519830,736828.181562076,22.03
e272849e90c1d807,6011383571693150,3445318480259650,736829.4027635788,50
958ccc7726681e4c,6011314937589720,6011730504222220,736895.4811411814,61.64
bdf7ddbfbff541,3784570536988120,6011736611636070,736913.7324877601,1000
785b223d98f8f0a7,6011383571693150,4556741512742490,736920.2096526101,100
165b44671eb31662,5467143517172300,4556674960519830,736967.6030506843,62.82
43272dc1078658b5,6011383571693150,5219574660384370,736968.2121630679,100
d4aea5e55d78be46,6011881441432730,6011858637233190,736974.3409241823,81.4
597f9d86b1352db2,4532896444050010,6011771484024500,737023.5543587,30
c72971957b41b900,3711519687204190,5457958198296530,737078.8381015629,22.43
e8fb134ba98ff18b,5249763966454740,4539925585909480,737089.0347365987,50
b0c10cce3613090d,3784570536988120,6011100199397060,737106.5040879867,66.43
f74229b2953c31e5,3711519687204190,4539925585909480,737118.6677998422,500
7c97075dc26912af,5249763966454740,5345396445255180,737158.6797797213,20
929f40b9d62a4f84,6011881441432730,3769123861127710,737193.1214248338,500
8977840ae23a24af,6011552930701020,3485284831998190,737242.7460711509,20
943c735b2b1db63,6011383571693150,6011100199397060,737285.7825384245,36.28
55ec10ecf0c83793,6011552930701020,3420519753219040,737348.5192273807,31.12
28a9541d6875b435,3711519687204190,3400254371747960,737393.5649394797,2558.09
ea1ef18413698ae6,3711519687204190,3400254371747960,737441.4550582054,3047.8
a7dce653eea27c6f,3711519687204190,4024007177349650,737508.6252697892,50
bc31266cec121931,3784570536988120,4556741512742490,737541.810713098,50
84e729ca0caf1327,3784570536988120,5532005290299320,737588.745376515,31.71
62197e21a8cf27a8,5249763966454740,4539038259647870,737589.4004764616,17.43
969c2f3a60b0ea8c,6011881441432730,6011858637233190,737648.8809553533,72.08
f12275faf8c514b1,5467143517172300,4556741512742490,737688.1425423429,200
76508e8ce08b7f34,5467143517172300,4556674960519830,737751.1633975968,106.66
75579e1e89b8b427,6011881441432730,3769123861127710,737772.6007798286,20
4154e50b749a17d7,6011314937589720,6011730504222220,737793.7494627588,22.51
f67081ae4e5606d9,3784570536988120,4556674960519830,737862.7536381318,88.23
597842f85dba9c05,5467143517172300,6011736611636070,737863.8217658082,500
d5c6cc35daa7aad8,4024007146143030,6011234633599380,737878.7664285298,1533.96
e83ca36b93932434,3784570536988120,3756998637049040,737911.3384786672,41.68
95c76dcc8fe7e265,3784570536988120,6011100199397060,737977.3053486573,70.53
875f83ada9d3d509,6011881441432730,6011858637233190,737985.9193214657,48.89
155dbf4a293209d6,6011428324577300,4929066813246120,737998.768008813,41.56
429b47bd3c74b9a,3711519687204190,5457958198296530,738070.9534096128,18.57
f93eea50dee5b0c7,3730466993099170,5459856943450580,738124.0024540676,94.38
